"License","http://developers.pioupiou.fr/data-licensing"
"Attribution","(c) contributors of the OpenWindMap wind network <https://www.openwindmap.org>"
"time","latitude","longitude","wind_speed_min","wind_speed_avg","wind_speed_max","wind_heading","pressure"
"utc","degrees","degrees","km/h","km/h","km/h","degrees","(deprecated)"
"2025-07-01T00:02:32.000Z",45.70167,5.884014,6,17.5,28.5,202.5,null
"2025-07-01T00:06:32.000Z",45.70167,5.884014,2.5,16,32,180,null
"2025-07-01T00:10:32.000Z",45.70167,5.884014,1.75,11.5,23.5,180,null
"2025-07-01T00:14:36.000Z",45.70167,5.884014,3.75,14,26,180,null
"2025-07-01T00:18:36.000Z",45.70167,5.884014,3.5,11,22.5,180,null
"2025-07-01T00:22:36.000Z",45.70167,5.884014,1.5,13.5,24.5,180,null
"2025-07-01T00:26:40.000Z",45.70167,5.884014,4.75,12.5,22,157.5,null
"2025-07-01T00:30:40.000Z",45.70167,5.884014,1,7.75,18,157.5,null
"2025-07-01T00:34:40.000Z",45.70167,5.884014,1.75,6.75,12.5,157.5,null
"2025-07-01T00:38:44.000Z",45.70167,5.884014,2,7.25,16.5,135,null
"2025-07-01T00:42:44.000Z",45.70167,5.884014,1,7.75,16.5,157.5,null
"2025-07-01T00:46:44.000Z",45.70167,5.884014,1,9,21,157.5,null
"2025-07-01T00:50:49.000Z",45.70167,5.884014,2.5,8.5,15.5,157.5,null
"2025-07-01T00:54:49.000Z",45.70167,5.884014,3.5,8.5,20,157.5,null
"2025-07-01T00:58:49.000Z",45.70167,5.884014,2.5,10,19.5,180,null
"2025-07-01T01:02:52.000Z",45.70167,5.884014,1,7.5,13,157.5,null
"2025-07-01T01:06:52.000Z",45.70167,5.884014,2,8.25,18,157.5,null
"2025-07-01T01:10:52.000Z",45.70167,5.884014,0.25,5.25,11,157.5,null
"2025-07-01T01:14:56.000Z",45.70167,5.884014,1,4,9.75,157.5,null
"2025-07-01T01:18:56.000Z",45.70167,5.884014,0.25,4.5,9.75,157.5,null
